item,itemLabel,oeblxml,GND
http://www.wikidata.org/entity/Q88286,Anna Sacher,S/Sacher_Anna_1859_1930,139577270
http://www.wikidata.org/entity/Q88418,Mathilde Sussin,S_43/Sussin_Mathilde_1876_1943,104934720X
http://www.wikidata.org/entity/Q88418,Mathilde Sussin,S/Sussin_Mathilde_1876_1943,104934720X
http://www.wikidata.org/entity/Q88523,Oswald von Thun und Hohenstein,T/Thun-Hohenstein-Salm-Reifferscheid_Oswald_1849_1913,108021190X
http://www.wikidata.org/entity/Q88529,Carl Paal,P/Paal_Karl_1860_1935,116011173
http://www.wikidata.org/entity/Q88725,Lina Loos,L/Loos_Lina_1884_1950,119201046
http://www.wikidata.org/entity/Q88951,Alois Rzach,R/Rzach_Alois_1850_1935,116712775
http://www.wikidata.org/entity/Q88953,Emil Marriot,M/Mataja_Emilie_1855_1938,118578103
http://www.wikidata.org/entity/Q89237,August Emanuel von Reuss,R/Reuss_August-Emanuel_1811_1873,10082594X
http://www.wikidata.org/entity/Q89285,Maximilian Steiner,S/Steiner_Maximilian_1830_1880,1021269875
http://www.wikidata.org/entity/Q89463,Joseph Schalk,S/Schalk_Josef_1857_1900,118835580
